"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"5398","Killed Casualties (Number)","2012","All road users","Male","35 - 44 years",12
"5399","Injured Cassualties (Number)","2012","All road users","Male","35 - 44 years",779
"5400","All Killed and Injured Casualties (Number)","2012","All road users","Male","35 - 44 years",791
"5401","Killed Casualties (Number)","2013","All road users","Male","35 - 44 years",19
"5402","Injured Cassualties (Number)","2013","All road users","Male","35 - 44 years",663
"5403","All Killed and Injured Casualties (Number)","2013","All road users","Male","35 - 44 years",682
"5404","Killed Casualties (Number)","2014","All road users","Male","35 - 44 years",21
"5405","Injured Cassualties (Number)","2014","All road users","Male","35 - 44 years",846
"5406","All Killed and Injured Casualties (Number)","2014","All road users","Male","35 - 44 years",867
"5407","Killed Casualties (Number)","2015","All road users","Male","35 - 44 years",14
"5408","Injured Cassualties (Number)","2015","All road users","Male","35 - 44 years",791
"5409","All Killed and Injured Casualties (Number)","2015","All road users","Male","35 - 44 years",805
"5410","Killed Casualties (Number)","2016","All road users","Male","35 - 44 years",24
"5411","Injured Cassualties (Number)","2016","All road users","Male","35 - 44 years",878
"5412","All Killed and Injured Casualties (Number)","2016","All road users","Male","35 - 44 years",865
"5413","Killed Casualties (Number)","2017","All road users","Male","35 - 44 years",19
"5414","Injured Cassualties (Number)","2017","All road users","Male","35 - 44 years",861
"5415","All Killed and Injured Casualties (Number)","2017","All road users","Male","35 - 44 years",880
"5416","Killed Casualties (Number)","2018","All road users","Male","35 - 44 years",14
"5417","Injured Cassualties (Number)","2018","All road users","Male","35 - 44 years",887
"5418","All Killed and Injured Casualties (Number)","2018","All road users","Male","35 - 44 years",901
"5419","Killed Casualties (Number)","2005","Pedestrians","Male","35 - 44 years",2
"5420","Injured Cassualties (Number)","2005","Pedestrians","Male","35 - 44 years",62
"5421","All Killed and Injured Casualties (Number)","2005","Pedestrians","Male","35 - 44 years",64
"5422","Killed Casualties (Number)","2006","Pedestrians","Male","35 - 44 years",6
"5423","Injured Cassualties (Number)","2006","Pedestrians","Male","35 - 44 years",56
"5424","All Killed and Injured Casualties (Number)","2006","Pedestrians","Male","35 - 44 years",62
"5425","Killed Casualties (Number)","2007","Pedestrians","Male","35 - 44 years",5
"5426","Injured Cassualties (Number)","2007","Pedestrians","Male","35 - 44 years",54
"5427","All Killed and Injured Casualties (Number)","2007","Pedestrians","Male","35 - 44 years",59
"5428","Killed Casualties (Number)","2008","Pedestrians","Male","35 - 44 years",4
"5429","Injured Cassualties (Number)","2008","Pedestrians","Male","35 - 44 years",67
"5430","All Killed and Injured Casualties (Number)","2008","Pedestrians","Male","35 - 44 years",71
"5431","Killed Casualties (Number)","2009","Pedestrians","Male","35 - 44 years",2
"5432","Injured Cassualties (Number)","2009","Pedestrians","Male","35 - 44 years",55
"5433","All Killed and Injured Casualties (Number)","2009","Pedestrians","Male","35 - 44 years",57
"5434","Killed Casualties (Number)","2010","Pedestrians","Male","35 - 44 years",6
"5435","Injured Cassualties (Number)","2010","Pedestrians","Male","35 - 44 years",55
"5436","All Killed and Injured Casualties (Number)","2010","Pedestrians","Male","35 - 44 years",61
"5437","Killed Casualties (Number)","2011","Pedestrians","Male","35 - 44 years",5
"5438","Injured Cassualties (Number)","2011","Pedestrians","Male","35 - 44 years",39
"5439","All Killed and Injured Casualties (Number)","2011","Pedestrians","Male","35 - 44 years",44
"5440","Killed Casualties (Number)","2012","Pedestrians","Male","35 - 44 years",0
"5441","Injured Cassualties (Number)","2012","Pedestrians","Male","35 - 44 years",69
"5442","All Killed and Injured Casualties (Number)","2012","Pedestrians","Male","35 - 44 years",69
"5443","Killed Casualties (Number)","2013","Pedestrians","Male","35 - 44 years",3
"5444","Injured Cassualties (Number)","2013","Pedestrians","Male","35 - 44 years",55
"5445","All Killed and Injured Casualties (Number)","2013","Pedestrians","Male","35 - 44 years",58
"5446","Killed Casualties (Number)","2014","Pedestrians","Male","35 - 44 years",3
"5447","Injured Cassualties (Number)","2014","Pedestrians","Male","35 - 44 years",75
"5448","All Killed and Injured Casualties (Number)","2014","Pedestrians","Male","35 - 44 years",78
"5449","Killed Casualties (Number)","2015","Pedestrians","Male","35 - 44 years",2
"5450","Injured Cassualties (Number)","2015","Pedestrians","Male","35 - 44 years",72
"5451","All Killed and Injured Casualties (Number)","2015","Pedestrians","Male","35 - 44 years",74
"5452","Killed Casualties (Number)","2016","Pedestrians","Male","35 - 44 years",5
"5453","Injured Cassualties (Number)","2016","Pedestrians","Male","35 - 44 years",83
"5454","All Killed and Injured Casualties (Number)","2016","Pedestrians","Male","35 - 44 years",88
"5455","Killed Casualties (Number)","2017","Pedestrians","Male","35 - 44 years",5
"5456","Injured Cassualties (Number)","2017","Pedestrians","Male","35 - 44 years",86
"5457","All Killed and Injured Casualties (Number)","2017","Pedestrians","Male","35 - 44 years",91
"5458","Killed Casualties (Number)","2018","Pedestrians","Male","35 - 44 years",4
"5459","Injured Cassualties (Number)","2018","Pedestrians","Male","35 - 44 years",71
"5460","All Killed and Injured Casualties (Number)","2018","Pedestrians","Male","35 - 44 years",75
"5461","Killed Casualties (Number)","2005","Pedal cyclists","Male","35 - 44 years",1
"5462","Injured Cassualties (Number)","2005","Pedal cyclists","Male","35 - 44 years",20
"5463","All Killed and Injured Casualties (Number)","2005","Pedal cyclists","Male","35 - 44 years",21
"5464","Killed Casualties (Number)","2006","Pedal cyclists","Male","35 - 44 years",1
"5465","Injured Cassualties (Number)","2006","Pedal cyclists","Male","35 - 44 years",24
"5466","All Killed and Injured Casualties (Number)","2006","Pedal cyclists","Male","35 - 44 years",25
"5467","Killed Casualties (Number)","2007","Pedal cyclists","Male","35 - 44 years",1
"5468","Injured Cassualties (Number)","2007","Pedal cyclists","Male","35 - 44 years",34
"5469","All Killed and Injured Casualties (Number)","2007","Pedal cyclists","Male","35 - 44 years",35
"5470","Killed Casualties (Number)","2008","Pedal cyclists","Male","35 - 44 years",1
"5471","Injured Cassualties (Number)","2008","Pedal cyclists","Male","35 - 44 years",36
"5472","All Killed and Injured Casualties (Number)","2008","Pedal cyclists","Male","35 - 44 years",37
"5473","Killed Casualties (Number)","2009","Pedal cyclists","Male","35 - 44 years",0
"5474","Injured Cassualties (Number)","2009","Pedal cyclists","Male","35 - 44 years",53
"5475","All Killed and Injured Casualties (Number)","2009","Pedal cyclists","Male","35 - 44 years",53
"5476","Killed Casualties (Number)","2010","Pedal cyclists","Male","35 - 44 years",0
"5477","Injured Cassualties (Number)","2010","Pedal cyclists","Male","35 - 44 years",54
"5478","All Killed and Injured Casualties (Number)","2010","Pedal cyclists","Male","35 - 44 years",54
"5479","Killed Casualties (Number)","2011","Pedal cyclists","Male","35 - 44 years",2
"5480","Injured Cassualties (Number)","2011","Pedal cyclists","Male","35 - 44 years",50
"5481","All Killed and Injured Casualties (Number)","2011","Pedal cyclists","Male","35 - 44 years",52
"5482","Killed Casualties (Number)","2012","Pedal cyclists","Male","35 - 44 years",2
"5483","Injured Cassualties (Number)","2012","Pedal cyclists","Male","35 - 44 years",105
"5484","All Killed and Injured Casualties (Number)","2012","Pedal cyclists","Male","35 - 44 years",107
"5485","Killed Casualties (Number)","2013","Pedal cyclists","Male","35 - 44 years",1
"5486","Injured Cassualties (Number)","2013","Pedal cyclists","Male","35 - 44 years",116
"5487","All Killed and Injured Casualties (Number)","2013","Pedal cyclists","Male","35 - 44 years",117
"5488","Killed Casualties (Number)","2014","Pedal cyclists","Male","35 - 44 years",3
"5489","Injured Cassualties (Number)","2014","Pedal cyclists","Male","35 - 44 years",146
"5490","All Killed and Injured Casualties (Number)","2014","Pedal cyclists","Male","35 - 44 years",149
"5491","Killed Casualties (Number)","2015","Pedal cyclists","Male","35 - 44 years",3
"5492","Injured Cassualties (Number)","2015","Pedal cyclists","Male","35 - 44 years",151
"5493","All Killed and Injured Casualties (Number)","2015","Pedal cyclists","Male","35 - 44 years",154
"5494","Killed Casualties (Number)","2016","Pedal cyclists","Male","35 - 44 years",1
"5495","Injured Cassualties (Number)","2016","Pedal cyclists","Male","35 - 44 years",156
"5496","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Male","35 - 44 years",157
"5497","Killed Casualties (Number)","2017","Pedal cyclists","Male","35 - 44 years",1
"5498","Injured Cassualties (Number)","2017","Pedal cyclists","Male","35 - 44 years",202
"5499","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Male","35 - 44 years",203
"5500","Killed Casualties (Number)","2018","Pedal cyclists","Male","35 - 44 years",2
"5501","Injured Cassualties (Number)","2018","Pedal cyclists","Male","35 - 44 years",201
"5502","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Male","35 - 44 years",203
"5503","Killed Casualties (Number)","2005","Motor cyclists","Male","35 - 44 years",12
"5504","Injured Cassualties (Number)","2005","Motor cyclists","Male","35 - 44 years",92
"5505","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Male","35 - 44 years",104
"5506","Killed Casualties (Number)","2006","Motor cyclists","Male","35 - 44 years",6
"5507","Injured Cassualties (Number)","2006","Motor cyclists","Male","35 - 44 years",102
"5508","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Male","35 - 44 years",108
"5509","Killed Casualties (Number)","2007","Motor cyclists","Male","35 - 44 years",9
"5510","Injured Cassualties (Number)","2007","Motor cyclists","Male","35 - 44 years",72
"5511","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Male","35 - 44 years",81
"5512","Killed Casualties (Number)","2008","Motor cyclists","Male","35 - 44 years",8
"5513","Injured Cassualties (Number)","2008","Motor cyclists","Male","35 - 44 years",88
"5514","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Male","35 - 44 years",96
"5515","Killed Casualties (Number)","2009","Motor cyclists","Male","35 - 44 years",8
"5516","Injured Cassualties (Number)","2009","Motor cyclists","Male","35 - 44 years",92
"5517","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Male","35 - 44 years",100
"5518","Killed Casualties (Number)","2010","Motor cyclists","Male","35 - 44 years",4
"5519","Injured Cassualties (Number)","2010","Motor cyclists","Male","35 - 44 years",63
"5520","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Male","35 - 44 years",67
"5521","Killed Casualties (Number)","2011","Motor cyclists","Male","35 - 44 years",6
"5522","Injured Cassualties (Number)","2011","Motor cyclists","Male","35 - 44 years",62
"5523","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Male","35 - 44 years",68
"5524","Killed Casualties (Number)","2012","Motor cyclists","Male","35 - 44 years",3
"5525","Injured Cassualties (Number)","2012","Motor cyclists","Male","35 - 44 years",79
"5526","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Male","35 - 44 years",82
"5527","Killed Casualties (Number)","2013","Motor cyclists","Male","35 - 44 years",4
"5528","Injured Cassualties (Number)","2013","Motor cyclists","Male","35 - 44 years",59
"5529","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Male","35 - 44 years",63
"5530","Killed Casualties (Number)","2014","Motor cyclists","Male","35 - 44 years",7
"5531","Injured Cassualties (Number)","2014","Motor cyclists","Male","35 - 44 years",71
"5532","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Male","35 - 44 years",78
"5533","Killed Casualties (Number)","2015","Motor cyclists","Male","35 - 44 years",5
"5534","Injured Cassualties (Number)","2015","Motor cyclists","Male","35 - 44 years",76
"5535","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Male","35 - 44 years",81
"5536","Killed Casualties (Number)","2016","Motor cyclists","Male","35 - 44 years",4
